contract,act_symbol,expiration,call_put,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,date,stock_price,T,mid_price,risk_free_rate,BS_price,BT_price,MC_price,Random Forest_ML_price,XGBoost_ML_price,Linear Regression_ML_price,SVR_ML_price,BS_error,BT_error,MC_error,Random Forest_ML_error,XGBoost_ML_error,Linear Regression_ML_error,SVR_ML_error,BS_error_pct,BT_error_pct,MC_error_pct,Random Forest_ML_error_pct,XGBoost_ML_error_pct,Linear Regression_ML_error_pct,SVR_ML_error_pct
AAPL130104C00400000,AAPL,2013-01-04,call,400,A,126.25,,127.4,,0,21,04-01-2013,1.0,0.0,0.0,0.0,0.3,2013-01-04,526.999992,0.0,126.825,0.05,127.00001199999951,127.0000120000011,126.99998565001182,115.09659702564237,126.81134,-5.072104052469243,119.39014422559616,0.1750119999995121,0.17501200000110373,0.17498565001181987,-11.728402974357635,-0.013659667968752842,-131.89710405246925,-7.434855774403843,0.13799487482713352,0.13799487482838851,0.13797409817608505,-9.247705873729656,-0.01077048528977161,-103.99929355605697,-5.862295110903878
AAPL130104P00400000,AAPL,2013-01-04,put,400,A,0.0,,0.01,,0,828,04-01-2013,0.0,0.0,0.0,0.0,0.3,2013-01-04,526.999992,0.0,0.005,0.05,0.0,0.0,0.0,3.1692334777232265,-0.31924433,101.28549597376117,119.39014422559616,-0.005,-0.005,-0.005,3.1642334777232266,-0.32424432516098023,101.28049597376118,119.38514422559616,-100.0,-100.0,-100.0,63284.669554464526,-6484.8865032196045,2025609.9194752234,2387702.8845119234
AAPL130104C00405000,AAPL,2013-01-04,call,405,A,121.25,,122.4,,0,0,04-01-2013,1.0,0.0,0.0,0.0,0.3,2013-01-04,526.999992,0.0,121.825,0.05,122.00001224999949,122.00001225000116,121.99998590001478,109.45450004366712,121.61921,-3.9777964571208315,119.39014422559616,0.17501224999948306,0.17501225000115994,0.1749859000147751,-12.370499956332878,-0.2057907104492216,-125.80279645712083,-2.434855774403843,0.14365873178697564,0.1436587317883521,0.14363710241311314,-10.154319685067005,-0.16892321809909427,-103.2651725484267,-1.998650338111096
AAPL130104P00405000,AAPL,2013-01-04,put,405,A,0.0,,0.01,,0,125,04-01-2013,0.0,0.0,0.0,0.0,0.3,2013-01-04,526.999992,0.0,0.005,0.05,0.0,0.0,0.0,3.707218569761197,0.4191517,102.37980356910958,119.39014422559616,-0.005,-0.005,-0.005,3.702218569761197,0.4141516935825348,102.37480356910959,119.38514422559616,-100.0,-100.0,-100.0,74044.37139522393,8283.033871650696,2047496.0713821917,2387702.8845119234
AAPL130104C00410000,AAPL,2013-01-04,call,410,A,116.25,,117.4,,0,0,04-01-2013,1.0,0.0,0.0,0.0,0.3,2013-01-04,526.999992,0.0,116.825,0.05,117.00001249999951,117.00001250000116,116.99998615001797,101.67022072486563,116.18363,-2.8834888617724204,119.39014422559616,0.17501249999951085,0.1750125000011593,0.1749861500179719,-15.154779275134374,-0.6413681030273466,-119.70848886177242,2.565144225596157,0.14980740423668806,0.14980740423809913,0.1497848491487027,-12.972205670990261,-0.548999018213008,-102.46821216500956,2.1957151513769797
AAPL130111C00420000,AAPL,2013-01-11,call,420,A,103.45,,104.5,,1,0,07-01-2013,1.0,0.0,-1.288,0.0005,0.509,2013-01-07,523.900002,0.010958904109589041,103.975,0.05,104.13016326433876,104.13014283592334,103.97280221256932,76.45225686902941,104.883675,-1.8835548853737762,119.39014422559616,0.1551632643387677,0.15514283592334266,-0.002197787430674225,-27.522743130970582,0.9086746215820369,-105.85855488537376,15.415144225596165,0.14923131939289994,0.14921167196282054,-0.0021137652615284687,-26.470539197855814,0.8739356783669506,-101.81154593447826,14.825817961621704
AAPL130111P00420000,AAPL,2013-01-11,put,420,A,0.01,,0.03,,488,911,07-01-2013,-0.0015,0.0001,-10.916,0.2517,0.7923,2013-01-07,523.900002,0.010958904109589041,0.02,0.05,0.04518616477950688,0.04330292633802046,0.05019829916188246,9.06874525101222,0.078683354,102.24832435639351,119.39014422559616,0.025186164779506876,0.023302926338020457,0.03019829916188246,9.048745251012221,0.058683353960514065,102.22832435639351,119.37014422559616,125.93082389753438,116.51463169010228,150.9914958094123,45243.726255061105,293.4167698025703,511141.6217819676,596850.7211279809
AAPL130111C00425000,AAPL,2013-01-11,call,425,A,98.2,,100.05,,0,0,07-01-2013,1.0,0.0,-1.3349,0.0017,0.509,2013-01-07,523.900002,0.010958904109589041,99.125,0.05,99.13305229865091,99.13300921744639,98.80962924982701,66.98390770139692,99.14721,-0.789247290025358,119.39014422559616,0.008052298650909506,0.008009217446385719,-0.3153707501729883,-32.141092298603084,0.02220916748046875,-99.91424729002536,20.26514422559616,0.008123378210249187,0.00807991671766529,-0.3181546029487903,-32.424809380684074,0.02240521309505044,-100.79621416396,20.444029483577463
AAPL130111P00425000,AAPL,2013-01-11,put,425,A,0.02,,0.04,,35,30,07-01-2013,-0.0024,0.0002,-16.187,0.3757,0.7872,2013-01-07,523.900002,0.010958904109589041,0.03,0.05,0.06758279102620479,0.06554977808169643,0.07447319729967289,10.851496322838173,-0.6395335,103.38269963970791,119.39014422559616,0.03758279102620479,0.03554977808169643,0.04447319729967289,10.821496322838174,-0.6695335197448731,103.35269963970791,119.36014422559616,125.27597008734932,118.49926027232145,148.24399099890962,36071.65440946058,-2231.778399149577,344508.99879902636,397867.1474186539
AAPL130111C00430000,AAPL,2013-01-11,call,430,A,93.35,,95.0,,0,2,07-01-2013,1.0,0.0,-1.4341,0.0047,0.509,2013-01-07,523.900002,0.010958904109589041,94.175,0.05,94.13616404028267,94.13607653756225,94.62745393758526,61.43970756193597,93.44886,0.30506030532303896,119.39014422559616,-0.038835959717332,-0.0389234624377508,0.4524539375852612,-32.73529243806403,-0.7261398315429659,-93.86993969467696,25.215144225596163,-0.041238077746038763,-0.0413309927663932,0.4804395408391412,-34.760066300041444,-0.7710537101597726,-99.67607081993836,26.774774861264838
